Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
16.87,4,0.3330666168062138243105131494,0.359621679157825,0.359621679157825,0.334695232302862,0.334695232302862,0.344776982381254,0.3690230632005947267653569314,0.2477382231624527267653569314,0.121284840038142,5.2858649726233981348932100948,58.51925079378942737085067444,58.519248888662158055553375217,1312687000
16.88,4,0.3330603812636951303460143704,0.359608894917452,0.359608894917452,0.334688966270043,0.334688966270043,0.344683986485126,0.3689294020542683926635006857,0.2476651106227003926635006857,0.121264291431568,5.284523375142922765605948311,58.510426157978213219286320138,58.51042424992422719890322421,1313465000
16.89,4,0.3330542529288622429705125024,0.359596227938506,0.359596227938506,0.334682807969129,0.334682807969129,0.344591123105423,0.3688358812813059663225085032,0.2475920953684799663225085032,0.121243785912826,5.2831837883632097613743776249,58.501638541359589809643917378,58.501636630384961335021437549,1314243000
16.90,4,0.3330481317983521228671760154,0.359583575822073,0.359583575822073,0.334676656907766,0.334676656907766,0.344498368486343,0.3687424700407884101833339198,0.2475191466576864101833339198,0.121223323383102,5.281845770520662285367466391,58.492828051129720011820325994,58.492826137228586392561341923,1315021000
16.91,4,0.3330420178688087386343749515,0.359570940019378,0.359570940019378,0.33467051308258,0.33467051308258,0.344405743429739,0.3686491891851284656524727996,0.2474462854415474656524727996,0.121202903743581,5.2805096203040755049262741645,58.484028160572521287632043718,58.484026243745719589845732879,1315800000
16.92,4,0.3330358118926535399751565184,0.359558222008088,0.359558222008088,0.334664276760697,0.334664276760697,0.344313268729924,0.3685560525854134413811402376,0.2473735256899644413811402376,0.121182526895449,5.2791755364021812071767465007,58.475258492618183399492895421,58.475256572870593677807641821,1316578000
16.93,4,0.3330297131107826666446154993,0.359545619271429,0.359545619271429,0.334658148157253,0.334658148157253,0.34422089832706,0.3684630280697401776274742428,0.2473008353298481776274742428,0.121162192739892,5.2778430579863963834169201542,58.466469803590892296852008168,58.46646788091745705250626667,1317356000
16.94,4,0.3330236205198697253972646637,0.359533031619749,0.359533031619749,0.334652025775038,0.334652025775038,0.34412865446448,0.3683701308383784786331587780,0.2472282296602824786331587780,0.121141901178096,5.2765124027845466489018090805,58.457687944982942781721994942,58.457686019383804294618822296,1318134000
16.95,4,0.3330175361165951247238792591,0.359520462903516,0.359520462903516,0.334645911620498,0.334645911620498,0.344036563442854,0.3682773873965290946947252833,0.2471557352852810946947252833,0.121121652111248,5.2751839504556653428434044348,58.448919936380562209023882378,58.448918007857398923384006607,1318912000
16.96,4,0.3330113596534176342830777885,0.359507808043928,0.359507808043928,0.334639704955904,0.334639704955904,0.343944566699786,0.3681847319945226809001825428,0.2470832865539916809001825428,0.121101445440531,5.2738567592051404565397429749,58.440172521496207671228605849,58.44017059005175272514113349,1319690000
16.97,4,0.3330052891270351863329027876,0.35949526989771,0.35949526989771,0.33463360474611,0.33463360474611,0.343852712943623,0.3680922273726261397002752744,0.2470109463054931397002752744,0.121081281067133,5.2725317277210955531597930521,58.431413791539412254570263968,58.431411857170399322717188877,1320468000
16.98,4,0.3329992267783907877413497666,0.359482746762033,0.359482746762033,0.334627512754042,0.334627512754042,0.343760956042272,0.3679998204166896695772561707,0.2469386615244506695772561707,0.121061158892239,5.2712080951993754240015914249,58.422655091151180074955929056,58.422653153856316947007794575,1321246000
16.99,4,0.3329931706042017296284739052,0.359470239636759,0.359470239636759,0.33462142696662,0.33462142696662,0.343669339153112,0.3679075542487112315648621537,0.2468664754316752315648621537,0.121041078817036,5.2698864793171007082771292471,58.413935451102550038771084707,58.413933510888535725434349556,1322025000
